"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1397",435062,"Kendrick, Howie","370","377.6","0.344","0.228","0.359","0.572","0.400","0.418","0.332","115","334","91.6","11.0","2276","88.6","88.27","113","663","734","-0.3","6.00","107","150","116","147","307","322","294"
"1765",641313,"Anderson, Tim","518","340.7","0.335","0.173","0.399","0.508","0.363","0.325","0.287","167","498","88.3","8.7","2274","88.2","87.84","253","1034","731","-0.4","6.01","106","150","112","146","301","320","287"
"1486",650333,"Arraez, Luis","366","406.0","0.334","0.104","0.355","0.439","0.360","0.332","0.285","109","326","86.9","11.4","2246","89.2","88.12","49","627","859","-1.1","6.08","111","147","102","149","281","315","296"
"903",456781,"Solano, Donovan","228","396.1","0.330","0.126","0.409","0.456","0.346","0.346","0.315","71","215","87.0","14.5","2246","88.7","88.18","87","459","444","-0.5","5.91","110","152","113","148","303","320","289"
"2285",592885,"Yelich, Christian","580","394.0","0.329","0.342","0.355","0.671","0.442","0.426","0.312","161","489","93.3","11.3","2225","88.8","87.92","291","1033","1252","-0.9","6.10","117","150","122","152","300","324","306"
"2402",606466,"Marte, Ketel","628","382.5","0.329","0.264","0.342","0.592","0.405","0.375","0.300","187","569","89.9","11.6","2253","89.0","88.57","202","1147","1254","-0.4","5.95","111","150","108","149","299","327","304"
"2463",518934,"LeMahieu, DJ","655","376.0","0.327","0.191","0.349","0.518","0.375","0.370","0.309","197","602","91.8","6.6","2253","89.3","88.92","180","1122","1341","-0.4","6.00","111","153","118","150","308","322","284"
"2613",543685,"Rendon, Anthony","646","404.5","0.319","0.279","0.323","0.598","0.413","0.414","0.310","174","545","90.4","19.6","2251","89.1","88.88","145","1127","1485","-0.2","6.07","107","150","117","146","305","324","298"
"2067",643446,"McNeil, Jeff","567","364.6","0.318","0.214","0.337","0.531","0.384","0.343","0.276","162","510","88.5","13.5","2220","88.9","88.55","247","1242","825","-0.3","6.03","115","151","108","151","290","321","300"
"1105",527038,"Flores, Wilmer","285","387.7","0.317","0.170","0.332","0.487","0.358","0.334","0.288","84","265","87.4","16.4","2264","89.0","88.54","55","507","598","-0.5","5.97","108","152","116","147","304","323","292"
"1399",665487,"Tatis Jr., Fernando","372","376.1","0.317","0.272","0.410","0.590","0.398","0.346","0.256","106","334","89.8","7.1","2269","88.4","87.98","235","668","731","-0.4","5.97","108","151","111","146","307","325","297"
"2219",660162,"Moncada, Yoán","559","397.0","0.315","0.233","0.406","0.548","0.379","0.356","0.280","161","511","93.1","12.2","2211","88.1","87.85","326","1053","1166","-0.2","6.02","111","150","116","146","297","323","299"
"748",501896,"Freese, David","186","402.2","0.315","0.284","0.374","0.599","0.415","0.382","0.283","51","162","91.5","11.0","2236","87.8","86.71","96","335","413","-1.1","5.92","108","150","119","147","303","322","294"
"2391",571448,"Arenado, Nolan","662","361.2","0.315","0.269","0.312","0.583","0.392","0.343","0.270","185","588","89.4","17.7","2297","89.3","89.13","257","1229","1161","-0.2","5.96","108","152","119","147","311","337","305"
"2362",453568,"Blackmon, Charlie","634","372.6","0.314","0.262","0.334","0.576","0.387","0.370","0.297","182","580","88.5","14.5","2248","89.1","88.98","230","1179","1183","-0.1","5.95","120","155","118","151","301","332","308"
"2168",668804,"Reynolds, Bryan","546","397.1","0.314","0.189","0.387","0.503","0.371","0.355","0.290","154","491","89.5","9.4","2226","88.4","87.54","274","1040","1127","-0.9","5.99","113","151","113","149","298","319","297"
"1798",570482,"Urshela, Gio","476","377.7","0.314","0.219","0.349","0.534","0.369","0.343","0.280","139","442","90.6","13.5","2288","88.4","87.85","225","1015","783","-0.5","5.99","108","152","119","148","305","323","285"
"1494",670541,"Alvarez, Yordan","369","404.9","0.313","0.342","0.366","0.655","0.432","0.408","0.286","98","313","92.2","13.4","2243","88.7","87.06","162","646","848","-1.6","5.97","113","160","128","151","292","330","303"
"889",666182,"Bichette, Bo","212","419.3","0.311","0.260","0.368","0.571","0.384","0.337","0.269","61","196","89.6","10.3","2302","88.7","88.08","116","474","415","-0.6","5.98","108","153","118","148","304","324","291"
"2636",646240,"Devers, Rafael","702","375.5","0.311","0.244","0.339","0.555","0.377","0.362","0.293","201","647","92.3","10.3","2229","88.6","88.13","348","1450","1186","-0.5","6.02","115","150","118","150","288","327","308"
"2316",488726,"Brantley, Michael","637","363.6","0.311","0.191","0.320","0.503","0.367","0.350","0.286","179","575","88.8","10.5","2220","89.1","88.19","109","1014","1301","-0.9","5.97","113","152","118","150","286","324","300"
"2115",443558,"Cruz, Nelson","521","406.0","0.311","0.328","0.351","0.639","0.417","0.415","0.290","141","454","93.7","13.1","2279","88.6","88.38","319","978","1137","-0.2","6.04","106","151","122","145","308","330","297"
"2862",593428,"Bogaerts, Xander","698","410.0","0.309","0.246","0.338","0.555","0.390","0.351","0.267","190","614","90.5","13.3","2263","88.5","88.03","246","1176","1686","-0.5","6.01","107","152","119","146","293","326","298"
"1882",621028,"Newman, Kevin","531","354.4","0.308","0.138","0.333","0.446","0.339","0.300","0.271","152","493","85.2","8.5","2272","88.4","87.98","132","959","923","-0.4","6.01","107","151","108","147","304","315","284"
"1803",605204,"Davis, J.D.","453","398.0","0.307","0.220","0.355","0.527","0.373","0.376","0.304","126","410","91.5","10.2","2254","89.2","88.09","248","882","921","-1.1","6.05","107","152","118","147","306","326","296"
"2688",641355,"Bellinger, Cody","661","406.7","0.305","0.324","0.301","0.629","0.414","0.428","0.317","170","558","90.9","17.5","2204","89.1","88.39","281","1198","1490","-0.7","6.02","116","154","124","154","303","327","306"
"1762",593643,"Alberto, Hanser","550","320.4","0.305","0.116","0.318","0.422","0.318","0.294","0.274","160","524","83.9","11.9","2268","88.2","87.73","150","1042","720","-0.5","5.97","105","151","107","146","296","318","284"
"1213",622682,"Reyes, Victor","292","415.4","0.304","0.127","0.384","0.431","0.325","0.283","0.261","84","276","87.6","9.2","2227","88.8","88.53","130","627","586","-0.3","6.01","111","149","106","149","289","320","296"
"1180",572816,"Dickerson, Corey","279","422.9","0.304","0.262","0.344","0.565","0.367","0.319","0.259","79","260","87.1","15.9","2254","89.3","89.02","189","689","491","-0.3","6.05","117","149","114","150","289","319","300"
"2463",502110,"Martinez, J.D.","657","374.9","0.304","0.252","0.342","0.557","0.386","0.388","0.295","175","575","91.3","12.5","2284","88.7","88.34","326","1219","1244","-0.4","6.00","107","152","121","147","298","330","303"
"1375",669242,"Edman, Tommy","349","394.0","0.304","0.196","0.346","0.500","0.357","0.330","0.282","99","326","87.3","14.3","2244","88.8","88.51","123","658","717","-0.3","6.00","113","149","106","149","295","321","299"
